s_name,scheme_code,aumdate,aumtotal,fincode,invdate,noshares,percent_aum
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132174,2023-12-31T00:00:00.000Z,11929740,7.97
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100180,2023-12-31T00:00:00.000Z,6296704,7.21
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100325,2023-12-31T00:00:00.000Z,3160213,5.48
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100510,2023-12-31T00:00:00.000Z,2095752,4.95
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100209,2023-12-31T00:00:00.000Z,4595392,4.75
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,117174,2023-12-31T00:00:00.000Z,132186,3.26
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132454,2023-12-31T00:00:00.000Z,4023420,2.78
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132843,2023-12-31T00:00:00.000Z,9542579,2.68
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132638,2023-12-31T00:00:00.000Z,5341050,2.47
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,107815,2023-12-31T00:00:00.000Z,564837,2.45
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,120056,2023-12-31T00:00:00.000Z,460256,2.38
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132215,2023-12-31T00:00:00.000Z,2813737,2.08
