s_name,aumdate,aumtotal,fincode,invdate,noshares,percent_aum
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100180,2023-11-30T00:00:00.000Z,18705000,9.16
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,132174,2023-11-30T00:00:00.000Z,27849000,8.18
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100034,2023-11-30T00:00:00.000Z,3348482,7.50
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,223595,2023-11-30T00:00:00.000Z,4944109,6.14
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,132540,2023-11-30T00:00:00.000Z,4915118,5.39
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100325,2023-11-30T00:00:00.000Z,6884000,5.14
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100510,2023-11-30T00:00:00.000Z,4676667,4.57
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100209,2023-11-30T00:00:00.000Z,8880235,4.06
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,132454,2023-11-30T00:00:00.000Z,10006362,3.19
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,132538,2023-11-30T00:00:00.000Z,1112364,3.15
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100570,2023-11-30T00:00:00.000Z,13168737,2.92
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100520,2023-11-30T00:00:00.000Z,5454521,2.82
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,124715,2023-11-30T00:00:00.000Z,6950290,2.68
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100114,2023-11-30T00:00:00.000Z,2426408,2.66
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100790,2023-11-30T00:00:00.000Z,347482,2.65
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,200132,2023-11-30T00:00:00.000Z,1160699,2.22
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,111243,2023-11-30T00:00:00.000Z,6237190,2.19
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,132500,2023-11-30T00:00:00.000Z,602368,2.01
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,205198,2023-11-30T00:00:00.000Z,3809216,2.00
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100247,2023-11-30T00:00:00.000Z,3592000,1.98
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,132777,2023-11-30T00:00:00.000Z,1127297,1.63
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,132868,2023-11-30T00:00:00.000Z,8241986,1.62
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100696,2023-11-30T00:00:00.000Z,1997092,1.60
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100331,2023-11-30T00:00:00.000Z,1959885,1.57
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,222055,2023-11-30T00:00:00.000Z,1753722,1.49
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,132343,2023-11-30T00:00:00.000Z,2268805,1.33
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,108869,2023-11-30T00:00:00.000Z,708958,1.23
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100820,2023-11-30T00:00:00.000Z,1215414,1.19
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,252306,2023-11-30T00:00:00.000Z,24173715,0.90
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,229365,2023-11-30T00:00:00.000Z,11650316,0.84
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100112,2023-11-30T00:00:00.000Z,3530000,0.63
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100800,2023-11-30T00:00:00.000Z,1694029,0.50
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100850,2023-11-30T00:00:00.000Z,3630738,0.48
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,132424,2023-11-30T00:00:00.000Z,1202179,0.38
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100550,2023-11-30T00:00:00.000Z,317176,0.36
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,132488,2023-11-30T00:00:00.000Z,282136,0.34
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100002,2023-11-30T00:00:00.000Z,225296,0.31
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,210258,2023-11-30T00:00:00.000Z,1476822,0.26
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,123642,2023-11-30T00:00:00.000Z,115829,0.14
Axis Bluechip Fund-Reg(G),2023-11-30T00:00:00.000Z,31816.15,100087,2023-09-30T00:00:00.000Z,31507,0.01
Aditya Birla SL ELSS Tax Saver Fund(G),2023-12-31T00:00:00.000Z,14917.96,132174,2023-12-31T00:00:00.000Z,11929740,7.97
